Data,Ticker,MarketCap,P/VP,Price,Rf
6/1/2008,AMAR3,590.41,0.99,2.38,0.00
6/1/2008,LREN3,"1,905.41",2.68,1.80,0.00
6/1/2008,LUPA3,"1,113.87",5.76,"3,895.36",0.00
6/1/2008,MDIA3,"2,247.11",1.86,5.11,0.00
6/1/2008,MGLU3,0.00,0.00,0.00,0.00
6/1/2008,POMO4,690.18,1.03,0.52,0.00
6/1/2008,MRFG3,"2,004.36",0.73,6.36,0.00
6/1/2008,LEVE3,502.49,0.00,0.00,0.00
6/1/2008,MILS3,0.00,0.00,0.00,0.00
6/1/2008,BEEF3,138.42,0.46,1.36,0.00
6/1/2008,MOVI3,0.00,0.00,0.00,0.00
6/1/2008,MRVE3,"1,330.63",0.86,1.66,0.00
6/1/2008,ODPV3,578.80,2.37,0.91,0.00
6/1/2008,OIBR3,"17,916.02",4.87,234.56,0.00
6/1/2008,OFSA3,0.00,0.00,0.00,0.00
6/1/2008,PCAR3,"7,292.72",0.00,23.54,0.00
6/1/2008,PETR4,"223,990.96",1.45,13.71,0.00
6/1/2008,PRIO3,0.00,0.00,0.00,0.00
6/1/2008,PTBL3,163.78,33.87,0.69,0.00
6/1/2008,POSI3,593.23,1.04,5.63,0.00
6/1/2008,PFRM3,189.80,0.41,4.24,0.00
6/1/2008,QUAL3,0.00,0.00,0.00,0.00
6/1/2008,RADL3,590.60,0.00,0.58,0.00
6/1/2008,RAPT4,978.95,1.28,2.36,0.00
6/1/2008,RAIL3,"6,702.78",0.00,0.00,0.00
6/1/2008,SBSP3,"6,324.73",0.66,6.32,0.00
6/1/2008,SAPR4,627.88,0.32,0.21,0.00
6/1/2008,STBP3,839.39,0.00,0.00,0.00
6/1/2008,SMTO3,"1,033.88",0.67,2.35,0.00
6/1/2008,SHUL4,216.84,1.75,0.81,0.00
6/1/2008,SEER3,0.00,0.00,0.00,0.00
6/1/2008,CSNA3,"22,001.43",3.30,8.36,0.00
6/1/2008,SQIA3,0.00,0.00,0.00,0.00
6/1/2008,SLCE3,"1,367.97",1.91,4.30,0.00
6/1/2008,SGPS3,535.80,0.34,14.42,0.00
6/1/2008,TAEE11,"1,931.15",1.31,1.65,0.00
6/1/2008,TASA4,363.07,1.10,15.26,0.00
6/1/2008,TECN3,0.00,0.00,0.00,0.00
6/1/2008,TCSA3,494.48,0.62,23.17,0.00
6/1/2008,TGMA3,297.01,0.92,2.77,0.00
6/1/2008,TELB4,220.47,0.00,27.62,0.00
6/1/2008,VIVT3,"21,237.41",1.82,12.58,0.00
6/1/2008,LAND3,75.79,0.73,28.98,0.00
6/1/2008,TIMS3,"8,479.06",1.48,3.63,0.00
6/1/2008,SHOW3,0.00,0.00,0.00,0.00
6/1/2008,TOTS3,"1,152.31",2.54,1.94,0.00
6/1/2008,TRPL4,"6,463.30",1.53,3.68,0.00
6/1/2008,TRIS3,185.98,0.44,0.83,0.00
6/1/2008,TPIS3,136.71,0.20,0.72,0.00
6/1/2008,TUPY3,627.96,0.81,3.13,0.00
6/1/2008,UGPA3,"6,804.19",0.00,4.85,0.00
6/1/2008,UCAS3,0.00,0.00,0.00,0.00
6/1/2008,UNIP6,690.84,0.00,1.92,0.00
6/1/2008,USIM5,"12,921.85",0.87,10.77,0.00
6/1/2008,VALE3,"136,641.59",1.50,13.91,0.00
6/1/2008,VLID3,543.55,1.62,5.53,0.00
6/1/2008,VIIA3,625.21,0.84,1.15,0.00
6/1/2008,VULC3,"1,294.30",3.32,16.58,0.00
6/1/2008,WEGE3,"7,720.33",3.54,1.38,0.00
6/1/2008,PORT3,0.00,1.00,6.45,0.00
6/1/2008,YDUQ3,982.31,2.33,2.92,0.00
6/1/2009,AESB3,0.00,0.00,0.00,0.00
6/1/2009,AALR3,0.00,0.00,0.00,0.00
6/1/2009,ALPA4,"2,056.69",1.90,2.47,0.00
6/1/2009,ALUP11,0.00,0.00,0.00,0.00
6/1/2009,ABEV3,"98,213.28",4.13,3.89,0.00
6/1/2009,AMER3,"5,267.27",21.33,39.71,0.00
6/1/2009,ANIM3,0.00,0.00,0.00,0.00
6/1/2009,ARZZ3,0.00,0.00,0.00,0.00
6/1/2009,AZEV4,0.00,0.00,0.00,0.00
6/1/2009,BLUT4,29.68,0.00,"4,586.10",0.00
6/1/2009,BRAP3,"13,651.19",2.77,7.36,0.00
6/1/2009,BRAP4,"13,651.19",2.67,7.33,0.00
6/1/2009,AGRO3,613.44,1.06,6.83,0.00
6/1/2009,BRKM5,"6,999.05",1.54,8.58,0.00
6/1/2009,BRFS3,"19,736.43",1.50,20.26,0.00
6/1/2009,CCRO3,"17,607.32",6.12,6.11,0.00
6/1/2009,CLSC4,"1,353.84",0.78,16.88,0.00
6/1/2009,CMIG4,"17,643.26",1.91,4.19,0.00
6/1/2009,CESP6,"7,390.02",0.00,11.32,0.00
6/1/2009,COCE5,"2,481.14",2.31,15.90,0.00
6/1/2009,COGN3,"1,105.66",0.00,0.00,0.00
6/1/2009,CGAS5,"3,731.75",3.18,8.43,0.00
6/1/2009,CSMG3,"3,821.39",1.02,5.62,0.00
6/1/2009,CPLE6,"10,057.88",1.15,1.81,0.00
6/1/2009,CSAN3,"10,398.72",2.11,4.15,0.00
6/1/2009,CPFE3,"16,945.66",3.33,9.95,0.00
6/1/2009,CRPG5,301.80,0.80,6.72,0.00
6/1/2009,CARD3,405.81,3.11,5.30,0.00
6/1/2009,CVCB3,0.00,0.00,0.00,0.00
6/1/2009,CYRE3,"10,348.48",2.69,15.75,0.00
6/1/2009,DASA3,"3,271.40",6.07,13.03,0.00
6/1/2009,DXCO3,"7,417.98",3.13,6.70,0.00
6/1/2009,DEXP3,104.43,1.10,1.45,0.00
6/1/2009,PNVL3,271.89,1.83,1.70,0.00
6/1/2009,DIRR3,"1,519.91",2.32,6.50,0.00
6/1/2009,ECOR3,0.00,0.00,0.00,0.00
6/1/2009,ELET3,"40,100.34",0.54,15.51,0.00
6/1/2009,EMBR3,"6,882.05",1.37,8.32,0.00
6/1/2009,ENAT3,0.00,0.00,0.00,0.00
6/1/2009,ENBR3,"5,318.51",1.25,5.34,0.00
6/1/2009,ENGI3,"2,335.07",0.00,0.00,0.00
6/1/2009,ENEV3,"3,075.59",1.61,76.63,0.00
6/1/2009,EGIE3,"14,053.54",3.82,8.58,0.00
6/1/2009,EQTL3,"1,954.46",1.65,1.76,0.00
6/1/2009,ETER3,618.37,1.66,12.45,0.00
6/1/2009,EUCA4,436.18,0.62,3.81,0.00
6/1/2009,EVEN3,"1,526.35",1.72,5.95,0.00
6/1/2009,EZTC3,"1,217.90",1.33,3.75,0.00
6/1/2009,FHER3,518.64,1.75,10.70,0.00
6/1/2009,FESA4,"1,034.64",1.19,6.21,0.00
6/1/2009,FLRY3,"2,320.10",2.74,6.00,0.00
6/1/2009,FRAS3,277.28,0.00,0.00,0.00
6/1/2009,GFSA3,"4,709.78",2.03,82.03,0.00
6/1/2009,GGBR4,"37,941.91",2.24,21.39,0.00
6/1/2009,GOAU4,"13,515.21",1.69,23.27,0.00
6/1/2009,GRND3,"2,985.00",2.04,1.72,0.00
6/1/2009,NTCO3,"15,623.25",13.71,13.06,0.00
6/1/2009,GUAR3,"3,834.79",3.07,6.89,0.00
6/1/2009,HBOR3,665.35,1.58,10.25,0.00
6/1/2009,HYPE3,"9,624.02",2.80,15.15,0.00
6/1/2009,PARD3,0.00,0.00,0.00,0.00
6/1/2009,MEAL3,0.00,0.00,0.00,0.00
6/1/2009,ROMI3,876.91,1.28,5.77,0.00
6/1/2009,MYPK3,"1,207.14",2.50,8.65,0.00
6/1/2009,RANI3,181.26,2.02,0.73,0.00
6/1/2009,JBSS3,"21,654.85",1.29,7.61,0.00
6/1/2009,JHSF3,"1,598.32",1.71,2.62,0.00
6/1/2009,KEPL3,468.83,2.74,11.24,0.00
6/1/2009,KLBN11,"4,814.80",0.00,0.00,0.00
6/1/2009,LIGT3,"5,291.48",1.83,14.36,0.00
6/1/2009,RENT3,"3,815.35",6.27,4.56,0.00
6/1/2009,LCAM3,0.00,0.00,0.00,0.00
6/1/2009,LOGN3,727.75,1.23,37.07,0.00
6/1/2009,AMAR3,"2,029.53",2.88,8.39,0.00
6/1/2009,LREN3,"4,789.18",6.16,4.57,0.00
6/1/2009,LUPA3,"1,294.35",4.51,"4,517.68",0.00
6/1/2009,MDIA3,"4,758.81",3.24,10.98,0.00
6/1/2009,MGLU3,0.00,0.00,0.00,0.00
6/1/2009,POMO4,"1,441.45",2.09,1.16,0.00
6/1/2009,MRFG3,"6,623.41",1.58,16.64,0.00
6/1/2009,LEVE3,761.35,0.00,0.00,0.00
6/1/2009,MILS3,0.00,0.00,0.00,0.00
6/1/2009,BEEF3,610.46,1.16,4.71,0.00
6/1/2009,MOVI3,0.00,0.00,0.00,0.00
6/1/2009,MRVE3,"6,787.74",2.84,7.29,0.00
6/1/2009,ODPV3,"2,833.16",3.63,2.76,0.00
6/1/2009,OIBR3,"12,067.80",1.46,116.27,0.00
6/1/2009,OFSA3,0.00,0.00,0.00,0.00
6/1/2009,PCAR3,"16,546.42",0.00,42.05,0.00
6/1/2009,PETR4,"347,084.65",2.02,22.74,0.00
6/1/2009,PRIO3,0.00,0.00,0.00,0.00
6/1/2009,PTBL3,228.97,7.73,0.97,0.00
6/1/2009,POSI3,"1,919.84",3.07,18.62,0.00
6/1/2009,PFRM3,546.65,1.13,13.48,0.00
6/1/2009,QUAL3,0.00,0.00,0.00,0.00
6/1/2009,RADL3,"1,660.99",0.00,1.66,0.00
6/1/2009,RAPT4,"2,389.94",2.83,6.16,0.00
6/1/2009,RAIL3,"13,244.74",0.00,0.00,0.00
6/1/2009,SBSP3,"7,833.00",0.74,8.35,0.00
6/1/2009,SAPR4,"1,076.26",0.53,0.39,0.00
6/1/2009,STBP3,"2,295.22",0.00,0.00,0.00
6/1/2009,SMTO3,"1,918.64",1.18,4.41,0.00
6/1/2009,SHUL4,330.56,2.58,1.24,0.00
6/1/2009,SEER3,0.00,0.00,0.00,0.00
6/1/2009,CSNA3,"40,823.16",7.41,17.37,0.00
6/1/2009,SQIA3,0.00,0.00,0.00,0.00
6/1/2009,SLCE3,"1,590.77",1.95,5.05,0.00
6/1/2009,SGPS3,682.32,0.40,18.36,0.00
6/1/2009,TAEE11,"3,281.44",1.75,3.09,0.00
6/1/2009,TASA4,717.40,1.85,29.16,0.00
6/1/2009,TECN3,0.00,0.00,0.00,0.00
6/1/2009,TCSA3,"1,511.38",1.72,72.64,0.00
6/1/2009,TGMA3,"1,022.04",3.01,10.51,0.00
6/1/2009,TELB4,858.20,0.00,69.29,0.00
6/1/2009,VIVT3,"20,878.48",1.89,14.00,0.00
6/1/2009,LAND3,790.52,1.88,72.58,0.00
6/1/2009,TIMS3,"14,387.62",2.13,5.29,0.00
6/1/2009,SHOW3,0.00,0.00,0.00,0.00
6/1/2009,TOTS3,"3,675.94",7.33,6.32,0.00
6/1/2009,TRPL4,"7,938.70",1.86,4.96,0.00
6/1/2009,TRIS3,468.68,1.01,2.09,0.00
6/1/2009,TPIS3,779.21,0.96,4.12,0.00
